CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM
512,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,taurine,107-35-7,C00245,HMDB00251,1123.0
519,Long Chain Fatty Acid,Lipid,myristate (14:0),544-63-8,C06424,HMDB00806,11005.0
533,Urea cycle; Arginine and Proline Metabolism,Amino Acid,urea,57-13-6,C00086,HMDB00294,1176.0
535,"Pyrimidine Metabolism, Uracil containing",Nucleotide,uridine,58-96-8,C00299,HMDB00296,6029.0
537,Histidine Metabolism,Amino Acid,trans-urocanate,104-98-3,C00785,HMDB00301,736715.0
561,Glutamate Metabolism,Amino Acid,glutamate,56-86-0,C00025,HMDB00148,611.0
563,Glutamate Metabolism,Amino Acid,glutamine,56-85-9,C00064,HMDB00641,5961.0
564,"Glycine, Serine and Threonine Metabolism",Amino Acid,threonine,72-19-5,C00188,HMDB00167,6288.0
565,Tryptophan Metabolism,Amino Acid,tryptophan,73-22-3,C00078,HMDB00929,6305.0
566,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,valine,72-18-4,C00183,HMDB00883,6287.0
567,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,nicotinate,59-67-6,C00253,HMDB01488,938.0
572,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,glucose,50-99-7,C00031,HMDB00122,5793.0
796,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,alpha-ketobutyrate,600-18-0,C00109,HMDB00005,58.0
798,"Purine Metabolism, Adenine containing",Nucleotide,adenosine,58-61-7,C00212,HMDB00050,60961.0
799,"Glycine, Serine and Threonine Metabolism",Amino Acid,betaine,107-43-7,C00719,HMDB00043,247.0
800,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,cysteine,52-90-4;56-89-3,C00097,HMDB00574,5862.0
803,"Fructose, Mannose and Galactose Metabolism",Carbohydrate,mannose,3458-28-4,C00159,HMDB00169,18950.0
806,"Glycine, Serine and Threonine Metabolism",Amino Acid,dimethylglycine,1118-68-9,C01026,HMDB00092,673.0
811,Alanine and Aspartate Metabolism,Amino Acid,alanine,56-41-7,C00041,HMDB00161,5950.0
815,Phenylalanine and Tyrosine Metabolism,Amino Acid,tyrosine,60-18-4,C00082,HMDB00158,6057.0
821,"Pyrimidine Metabolism, Uracil containing",Nucleotide,pseudouridine,1445-07-4,C02067,HMDB00767,15047.0
823,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,pyruvate,127-17-3,C00022,HMDB00243,1060.0
825,"Pyrimidine Metabolism, Uracil containing",Nucleotide,uracil,66-22-8,C00106,HMDB00300,1174.0
826,Pentose Metabolism,Carbohydrate,xylose,609-06-3,C00181,HMDB00098,135191.0
827,"Pyrimidine Metabolism, Cytidine containing",Nucleotide,cytidine,65-46-3,C00475,HMDB00089,6175.0
848,Tobacco Metabolite,Xenobiotics,cotinine,486-56-6,,HMDB01046,854019.0
849,Xanthine Metabolism,Xenobiotics,caffeine,58-08-2,C07481,HMDB01847,2519.0
878,"Fructose, Mannose and Galactose Metabolism",Carbohydrate,fructose,57-48-7,C00095,HMDB00660,5984.0
880,"Purine Metabolism, Adenine containing",Nucleotide,adenine,73-24-5,C00147,HMDB00034,190.0
881,"Pyrimidine Metabolism, Cytidine containing",Nucleotide,cytosine,71-30-7,C00380,HMDB00630,597.0
888,Medium Chain Fatty Acid,Lipid,caprate (10:0),334-48-5,C01571,HMDB00511,2969.0
891,Long Chain Fatty Acid,Lipid,margarate (17:0),506-12-7,,HMDB02259,10465.0
892,Long Chain Fatty Acid,Lipid,nonadecanoate (19:0),646-30-0,C16535,HMDB00772,12591.0
893,Long Chain Fatty Acid,Lipid,arachidate (20:0),506-30-9,C06425,HMDB02212,10467.0
913,Glycogen Metabolism,Carbohydrate,maltose,6363-53-7,C00208,HMDB00163,10991489.0
917,Alanine and Aspartate Metabolism,Amino Acid,asparagine,70-47-3,C00152,HMDB00168,6267.0
922,Sphingolipid Metabolism,Lipid,N-stearoyl-sphinganine (d18:0/18:0)*,2304-80-5,,,5283573.0
923,"Pyrimidine Metabolism, Orotate containing",Nucleotide,dihydroorotate,155-54-4,C00337,HMDB03349,648.0
926,Medium Chain Fatty Acid,Lipid,caproate (6:0),142-62-1,C01585,HMDB00535,8892.0
932,Medium Chain Fatty Acid,Lipid,caprylate (8:0),124-07-2,C06423,HMDB00482,379.0
980,Long Chain Fatty Acid,Lipid,pentadecanoate (15:0),1002-84-2;10002-84-2,C16537,HMDB00826,13849.0
1001,Urea cycle; Arginine and Proline Metabolism,Amino Acid,trans-4-hydroxyproline,51-35-4,C01157,HMDB00725,5810.0
1002,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,allantoin,97-59-6,C02350,HMDB00462,204.0
1004,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,xanthine,69-89-6,C00385,HMDB00292,1188.0
1021,Glutathione Metabolism,Amino Acid,5-oxoproline,98-79-3,C01879,HMDB00267,7405.0
1022,Tryptophan Metabolism,Amino Acid,picolinate,98-98-6,C10164,HMDB02243,1018.0
1023,"Glycine, Serine and Threonine Metabolism",Amino Acid,sarcosine,107-97-1,C00213,HMDB00271,1088.0
1024,Pantothenate and CoA Metabolism,Cofactors and Vitamins,pantothenate,137-08-6,C00864,HMDB00210,6613.0
1025,Lysine Metabolism,Amino Acid,pipecolate,4043-87-2,C00408,HMDB00070,849.0
1026,Phospholipid Metabolism,Lipid,phosphoethanolamine,1071-23-4,C00346,HMDB00224,1015.0
1052,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,glycerate,600-19-1,C00258,HMDB00139,752.0
1053,"Pyrimidine Metabolism, Uracil containing",Nucleotide,3-ureidopropionate,462-88-4,C02642,HMDB00026,111.0
1082,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,N-acetylleucine,1188-21-2,C02710,HMDB11756,70912.0
1083,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-acetylmethionine,65-82-7,C02712,HMDB11745,448580.0
1084,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,N-acetylvaline,96-81-1,,HMDB11757,66789.0
1087,Long Chain Fatty Acid,Lipid,erucate (22:1n9),112-86-7,C08316,HMDB02068,5281116.0
1090,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,"bilirubin (Z,Z)",635-65-4,C00486,HMDB00054,5280352.0
1094,Phenylalanine and Tyrosine Metabolism,Amino Acid,thyroxine,51-48-9,C01829,HMDB01918,5819.0
1102,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamyltyrosine,7432-23-7,,HMDB11741,94340.0
1104,Food Component/Plant,Xenobiotics,methyl indole-3-acetate,1912-33-0,,HMDB29738,74706.0
1105,Tocopherol Metabolism,Cofactors and Vitamins,alpha-tocopherol,59-02-9;10191-41-0,C02477,HMDB01893,14985.0
1110,Alanine and Aspartate Metabolism,Amino Acid,N-acetylalanine,97-69-8,C02847,HMDB00766,88064.0
1111,Phenylalanine and Tyrosine Metabolism,Amino Acid,vanillylmandelate (VMA),55-10-7,C05584,HMDB00291,1245.0
1113,Polyamine Metabolism,Amino Acid,4-acetamidobutanoate,3025-96-5,C02946,HMDB03681,18189.0
1114,"Pyrimidine Metabolism, Thymine containing",Nucleotide,3-aminoisobutyrate,10569-72-9;214139-20-5,C05145,HMDB03911,64956.0
1124,TCA Cycle,Energy,citrate,77-92-9,C00158,HMDB00094,311.0
1128,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,2-aminobutyrate,1492-24-6,C02261,HMDB00650,439691.0
1134,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,urate,69-93-2;120K5305,C00366,HMDB00289,1175.0
1135,Secondary Bile Acid Metabolism,Lipid,ursodeoxycholate,128-13-2,C07880,HMDB00946,31401.0
1137,Endocannabinoid,Lipid,oleoyl ethanolamide,11-58-0;111-58-0,,HMDB02088,5283454.0
1140,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylglutamine,10148-81-9,C05283,HMDB11738,150914.0
1141,Phenylalanine and Tyrosine Metabolism,Amino Acid,4-hydroxyphenylpyruvate,156-39-8,C01179,HMDB00707,979.0
1143,Short Chain Fatty Acid,Lipid,butyrate/isobutyrate (4:0),109-92-6,C00246,HMDB00039,264.0
1161,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,tigloylglycine,35842-45-6,,HMDB00959,6441567.0
1162,Aminosugar Metabolism,Carbohydrate,N-acetylneuraminate,131-48-6,C00270,HMDB00230,439197.0
1215,Aminosugar Metabolism,Carbohydrate,N-acetylglucosaminylasparagine,2776-93-4,C04540,HMDB00489,123826.0
1218,Ketone Bodies,Lipid,acetoacetate,11/2/83,C00164,HMDB00060,96.0
1221,Creatine Metabolism,Amino Acid,creatine,57-00-1,C00300,HMDB00064,586.0
1224,Glutathione Metabolism,Amino Acid,"cys-gly, oxidized",7729-20-6,,,333293.0
1230,Steroid,Lipid,estrone 3-sulfate,438-67-5,C02538,HMDB01425,3001028.0
1231,Polyunsaturated Fatty Acid (n3 and n6),Lipid,dihomo-linoleate (20:2n6),2091-39-6,C16525,HMDB05060,6439848.0
1235,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylhistidine,37460-15-4,,,7017195.0
1239,"Fatty Acid, Monohydroxy",Lipid,2-hydroxystearate,629-22-1,C03045,,69417.0
1242,"Purine Metabolism, Adenine containing",Nucleotide,N1-methyladenosine,15763-06-1,C02494,HMDB03331,27476.0
1254,Glycerolipid Metabolism,Lipid,glycerol,56-81-5,C00116,HMDB00131,753.0
1256,Phospholipid Metabolism,Lipid,choline,67-48-1,C00114,HMDB00097,305.0
1268,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylleucine,2566-39-4,,HMDB11171,151023.0
1342,Phenylalanine and Tyrosine Metabolism,Amino Acid,3-methoxytyrosine,300-48-1,,HMDB01434,1670.0
1382,Drug,Xenobiotics,fluoxetine,59333-67-4,D00326,,3386.0
1383,Drug,Xenobiotics,4-acetamidophenol,103-90-2,C06804,HMDB01859,1983.0
1384,Drug,Xenobiotics,naproxen,22204-53-1,C01517,HMDB01923,156391.0
1388,Drug,Xenobiotics,,,,,
1442,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,beta-hydroxyisovalerate,625-08-1,,HMDB00754,69362.0
1487,Drug,Xenobiotics,ibuprofen,15687-27-1,D00126,HMDB01925,3672.0
1488,Endocannabinoid,Lipid,arachidonoyl ethanolamide,94421-68-8,C11695,HMDB04080,5281969.0
1489,Endocannabinoid,Lipid,palmitoyl ethanolamide,544-31-0,C16512,HMDB02100,4671.0
1518,Sphingolipid Metabolism,Lipid,N-palmitoyl-sphingosine (d18:1/16:0),24696-26-2,,HMDB04949,5283564.0
1526,Phospholipid Metabolism,Lipid,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),26662-94-2,,HMDB05320,5283496.0
1528,Phospholipid Metabolism,Lipid,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),,,HMDB09784,
1537,Phospholipid Metabolism,Lipid,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),40811-94-7,,HMDB07973,5287971.0
1538,Sphingolipid Metabolism,Lipid,stearoyl sphingomyelin (d18:1/18:0),85187-10-6;85187-10-6,C00550,HMDB01348,6453725.0
1539,Phospholipid Metabolism,Lipid,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),26853-31-6;26853-31-6,,HMDB07972,6436017.0
1547,,,N-stearoyl-sphingosine (d18:1/18:0)*,104404-17-3,,HMDB04950,5283565.0
1628,Primary Bile Acid Metabolism,Lipid,glycochenodeoxycholate,16564-43-5,C05466,HMDB00637,12544.0
1629,Primary Bile Acid Metabolism,Lipid,taurochenodeoxycholate,6009-98-9,C05465,HMDB00951,387316.0
1648,Primary Bile Acid Metabolism,Lipid,taurocholate,145-42-6,C05122,HMDB00036,6675.0
1668,Secondary Bile Acid Metabolism,Lipid,taurodeoxycholate,207737-97-1,C05463,HMDB00896,2733768.0
1869,Benzoate Metabolism,Xenobiotics,2-hydroxyhippurate (salicylurate),487-54-7,C07588,HMDB00840,10253.0
2028,Drug,Xenobiotics,metoprolol,56392-17-7,D02358,HMDB01932,4171.0
2048,Drug,Xenobiotics,3-(N-acetyl-L-cystein-S-yl) acetaminophen,52372-86-8,,,83967.0
2049,Drug,Xenobiotics,4-acetaminophen sulfate,10066-90-7;32113-41-0,C06804,HMDB59911,83939.0
2050,Polyunsaturated Fatty Acid (n3 and n6),Lipid,eicosapentaenoate (EPA; 20:5n3),10-2005-9;10417-94-4,C06428,HMDB01999,446284.0
2051,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,methylsuccinate,498-21-5,,HMDB01844,10349.0
2054,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,ethylmalonate,601-75-2,,HMDB00622,11756.0
100000007,Carnitine Metabolism,Lipid,carnitine,461-05-2,C00318,HMDB00062,10917.0
100000008,Benzoate Metabolism,Xenobiotics,benzoate,65-85-0,C00180,HMDB01870,243.0
100000010,Phenylalanine and Tyrosine Metabolism,Amino Acid,3-phenylpropionate (hydrocinnamate),501-52-0,C05629,HMDB00764,107.0
100000011,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenylacetate,103-82-2,C07086,HMDB00209,999.0
100000014,Benzoate Metabolism,Xenobiotics,hippurate,495-69-2,C01586,HMDB00714,464.0
100000015,Tryptophan Metabolism,Amino Acid,xanthurenate,59-007,C02470,HMDB00881,5699.0
100000016,"Fatty Acid, Dicarboxylate",Lipid,suberate (C8-DC),505-48-6,C08278,HMDB00893,10457.0
100000036,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-methyl-2-oxovalerate,1460-34-0;51829-07-3,C00671,HMDB03736,47.0
100000039,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,methionine sulfoxide,3226-65-1,C02989,HMDB02005,158980.0
100000042,Histidine Metabolism,Amino Acid,3-methylhistidine,368-16-1,C01152,HMDB00479,64969.0
100000043,Drug,Xenobiotics,4-acetamidophenylglucuronide,120595-80-4,,HMDB10316,83944.0
100000054,Lysine Metabolism,Amino Acid,5-hydroxylysine,13204-98-3,C16741,HMDB00450,1029.0
100000096,Guanidino and Acetamido Metabolism,Amino Acid,4-guanidinobutanoate,463-003;463-00-3,C01035,HMDB03464,500.0
100000257,Aminosugar Metabolism,Carbohydrate,glucuronate,207300-70-7,C00191,HMDB00127,444791.0
100000258,Glycerolipid Metabolism,Lipid,glycerol 3-phosphate,29849-82-9,C00093,HMDB00126,754.0
100000263,Histidine Metabolism,Amino Acid,imidazole lactate,14403-45-3,C05568,HMDB02320,793.0
100000265,Tryptophan Metabolism,Amino Acid,kynurenine,2922-83-0,C00328,HMDB00684,161166.0
100000269,Phospholipid Metabolism,Lipid,glycerophosphorylcholine (GPC),28319-77-9,C00670,HMDB00086,71920.0
100000276,Glycogen Metabolism,Carbohydrate,maltotriose,1109-28-0,C01835,HMDB01262,439586.0
100000282,Glutamate Metabolism,Amino Acid,N-acetylglutamate,8/3/17,C00624,HMDB01138,70914.0
100000285,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-alpha-acetylornithine,8/9/05,C00437,HMDB03357,439232.0
100000295,Food Component/Plant,Xenobiotics,tartarate,87-69-4;6106-24-7,C00898,HMDB00956,444305.0
100000299,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,xanthosine,146-80-5,C01762,HMDB00299,64959.0
100000406,Pentose Metabolism,Carbohydrate,ribitol,488-81-3,C00474,HMDB00508,6912.0
100000436,Secondary Bile Acid Metabolism,Lipid,glycodeoxycholate,360-65-6,C05464,HMDB00631,3035026.0
100000437,Xanthine Metabolism,Xenobiotics,theophylline,58-55-9,C07130,HMDB01889,2153.0
100000442,Food Component/Plant,Xenobiotics,quinate,77-95-2,C00296,HMDB03072,6508.0
100000445,Xanthine Metabolism,Xenobiotics,theobromine,83-67-0,C07480,HMDB02825,5429.0
100000447,Phenylalanine and Tyrosine Metabolism,Amino Acid,gentisate,490-79-9,C00628,HMDB00152,3469.0
100000453,Xanthine Metabolism,Xenobiotics,paraxanthine,611-59-6,C13747,HMDB01860,4687.0
100000463,Tryptophan Metabolism,Amino Acid,indolelactate,832-97-3,C02043,HMDB00671,92904.0
100000467,Tryptophan Metabolism,Amino Acid,3-indoxyl sulfate,2642-37-7,,HMDB00682,10258.0
100000491,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylphenylalanine,7432-24-8,,HMDB00594,111299.0
100000551,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,4-methyl-2-oxopentanoate,816-66-0,C00233,HMDB00695,70.0
100000580,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,"1,5-anhydroglucitol (1,5-AG)",154-58-5,C07326,HMDB02712,64960.0
100000611,Lyso-phospho-ether,Lipid,1-palmityl-GPC (O-16:0),52691-62-0,,,3983.0
100000616,Phospholipid Metabolism,Lipid,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),383907-33-3,,HMDB09815,
100000626,Sphingolipid Metabolism,Lipid,sphingosine 1-phosphate,26993-30-6,C06124,HMDB00277,5283560.0
100000639,Phosphatidylserine (PS),Lipid,1-stearoyl-2-oleoyl-GPS (18:0/18:1),,,HMDB10163,9547087.0
100000656,Lysolipid,Lipid,1-stearoyl-GPI (18:0),796963-93-4,,HMDB61696,
100000657,Phospholipid Metabolism,Lipid,"1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,D03585,HMDB00564,452110.0
100000665,Polyunsaturated Fatty Acid (n3 and n6),Lipid,docosahexaenoate (DHA; 22:6n3),6217-54-5,C06429,HMDB02183,445580.0
100000672,Phospholipid Metabolism,Lipid,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),69525-80-0,,HMDB07869,129657.0
100000706,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,alpha-hydroxyisocaproate,10303-64-7,C03264,HMDB00746,83697.0
100000707,"Fatty Acid, Dicarboxylate",Lipid,maleate,110-16-7,C01384,HMDB00176,444266.0
100000711,Drug,Xenobiotics,4-acetylphenol sulfate,,,,4684006.0
